,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,Prediction,breed,favorite_count,retweet_count,url
731,778990705243029504,2016-09-30 00:41:48,https://vine.co/v/5rt6T3qm7hL,11,10,Combo,doggo,https://pbs.twimg.com/media/CYeWlh0WAAADhsj.jpg,1.0,dog,Norwich terrier,18739.0,6649.0,https://t.co/vyx1X5eyWI
780,772193107915964416,2016-09-13 16:30:07,https://twitter.com/dog_rates/status/775733305207554048/photo/1,11,10,Anakin,doggo,https://pbs.twimg.com/media/CZNK7NpWwAEAqUh.jpg,1.0,mixed,Labrador retriever,5676.0,1289.0,https://t.co/Dp0s7MRIHK
793,770787852854652928,2016-09-07 15:44:53,https://twitter.com/dog_rates/status/773547596996571136/photo/1,11,10,Chelsea,pupper,https://pbs.twimg.com/media/CZX8nyeVAAEstKM.jpg,1.0,dog,golden retriever,4614.0,1102.0,https://t.co/d0QEbp78Yi
877,758355060040593408,2016-08-03 17:43:45,https://twitter.com/dog_rates/status/760893934457552897/photo/1,11,10,Wishes,doggo,https://pbs.twimg.com/ext_tw_video_thumb/698341973569245184/pu/img/Sj3A2vSfbKWSv61T.jpg,1.0,dog,boxer,3155.0,963.0,https://t.co/NzWUrFZydr
917,752660715232722944,2016-07-23 19:49:07,https://twitter.com/dog_rates/status/756939218950160384/photo/1,12,10,Jax,pupper,https://pbs.twimg.com/media/Cbx6nz1WIAA0QSW.jpg,1.0,dog,Yorkshire terrier,4075.0,1422.0,https://t.co/bWSgqnwSHr
951,749981277374128128,2016-07-10 01:23:49,https://vine.co/v/5WrjaYAMvMO,13,10,Lola,pupper,https://pbs.twimg.com/media/Ccg02LiWEAAJHw1.jpg,1.0,dog,Norfolk terrier,4782.0,2277.0,https://t.co/GRXwMxLBkh
961,748932637671223296,2016-07-07 19:16:47,"https://twitter.com/dog_rates/status/751132876104687617/photo/1,https://twitter.com/dog_rates/status/751132876104687617/photo/1",10,10,Cooper,puppo,https://pbs.twimg.com/media/CcvbGj5W8AARjB6.jpg,1.0,dog,collie,5405.0,2060.0,https://t.co/BbcABzohKb
962,748705597323898880,2016-07-07 01:47:22,"https://twitter.com/dog_rates/status/750868782890057730/photo/1,https://twitter.com/dog_rates/status/750868782890057730/photo/1,https://twitter.com/dog_rates/status/750868782890057730/photo/1,https://twitter.com/dog_rates/status/750868782890057730/photo/1",11,10,Milo,pupper,https://pbs.twimg.com/media/CcwcSS9WwAALE4f.jpg,1.0,dog,golden retriever,2585.0,879.0,https://t.co/eA7k1ZQslA
964,748692773788876800,2016-07-06 01:46:38,https://twitter.com/dog_rates/status/750506206503038976/photo/1,8,10,Malcolm,pupper,https://pbs.twimg.com/media/CczOp_OWoAAo5zR.jpg,1.0,dog,Samoyed,3953.0,1227.0,https://t.co/vdr7DaRSa7
966,748568946752774144,2016-07-05 17:38:41,https://twitter.com/dog_rates/status/750383411068534784/photo/1,9,10,Zoe,pupper,https://pbs.twimg.com/media/Cc0_2tXXEAA2iTY.jpg,1.0,dog,Border terrier,2044.0,610.0,https://t.co/uUncaAGH18
